Sigla_uf,Nome_municipio,Entidade_executora,Cod_ibge,Cnpj,Valor_per_capita,Aut_repasse_delegacao_rede,Prev_ed_infantil,Desc_ed_infantil,Vl_pagar_ed_infantil,Prev_ens_fundamental,Desc_ens_fundamental,Vl_pagar_ens_fundamental,Prev_ens_medio,Desc_ens_medio,Vl_pagar_ens_medio,Data_arquivo
PA,RIO MARIA,PREF MUN DE RIO MARIA,1506161,04144176000178,170.03,Sim,"12412,19",0,"12412,19","114090,13",0,"114090,13","38936,87",0,"38936,87",2025-09-01
PA,RONDON DO PARá,PREF MUN DE RONDON DO PARA,1506187,04780953000170,168.4,Sim,"10440,8",0,"10440,8",138930,0,138930,21892,0,21892,2025-09-01
PA,RURóPOLIS,PREF MUN DE RUROPOLIS,1506195,10222297000193,188.59,Sim,"11692,58",0,"11692,58",132013,0,132013,"48467,63",0,"48467,63",2025-09-01
PA,SALINóPOLIS,PREF MUN DE SALINOPOLIS,1506203,05149166000198,157.6,Sim,"2679,2",0,"2679,2","38139,2",0,"28660,23","40818,4",0,"40818,4",2025-09-01
PA,SALVATERRA,PREF MUN DE SALVATERRA,1506302,04888517000110,162.44,Sim,"3573,68",0,"3573,68","106073,32",0,"106073,32","74235,08",0,"74235,08",2025-09-01
PA,SANTA BáRBARA DO PARá,PREF MUN DE SANTA BARBARA DO PARA,1506351,83334698000109,153.72,Sim,"13681,08",0,"13681,08","98227,08",0,"98227,08","49651,56",0,"49651,56",2025-09-01
PA,SANTA CRUZ DO ARARI,PREF MUN DE SANTA CRUZ DO ARARI,1506401,04888830000158,176.96,Sim,"7609,28",0,"7609,28","47071,36",0,"47071,36","176,96",0,"176,96",2025-09-01
PA,SANTA IZABEL DO PARá,PREF MUN DE SANTA ISABEL DO PARA,1506500,05171699000176,155.39,Sim,"36982,82",0,"36982,82","354444,59",0,"354444,59","87639,96",0,"87639,96",2025-09-01
PA,SANTA LUZIA DO PARá,PREF MUN DE SANTA LUZIA DO PARA,1506559,63887848000102,171.16,Sim,"1882,76",0,"1882,76","129568,12",0,"129568,12","64869,64",0,"64869,64",2025-09-01
PA,SANTA MARIA DAS BARREIRAS,PREF MUN DE SANTA MARIA DAS BARREIRAS,1506583,10249381000109,188.59,Sim,"33946,2",0,"33946,2","290240,01",0,"290240,01","10372,45",0,"10372,45",2025-09-01
PA,SANTA MARIA DO PARá,PREF MUN DE SANTA MARIA DO PARA,1506609,05149174000134,155.65,Sim,"8249,45",0,"8249,45",149424,0,149424,"66773,85",0,"66773,85",2025-09-01
PA,SANTANA DO ARAGUAIA,PREF MUN DE SANTANA DO ARAGUAIA,1506708,05832977000199,188.59,Sim,"51673,66",0,"51673,66","868645,54",0,"868645,54","42244,16",0,"42244,16",2025-09-01
PA,SANTARéM,PREF MUN DE SANTAREM,1506807,05182233000176,188.59,Sim,"146723,02",0,"146723,02","1206221,64",0,"1206221,64","384157,83",0,"384157,83",2025-09-01
PA,SANTARéM NOVO,PREF MUN DE SANTAREM NOVO,1506906,05149182000180,155.39,Sim,"5904,82",0,"5904,82","69770,11",0,"69770,11","54231,11",0,"54231,11",2025-09-01
PA,SANTO ANTôNIO DO TAUá,PREF MUN DE SANTO ANTONIO DO TAUA,1507003,05059936000101,158.08,Sim,"3477,76",0,"3477,76",130416,0,"129608,5","115240,32",0,"115240,32",2025-09-01
